Credit_Card_Exceed_Months_1,Loan_Tenure_Year_24.0,Years_to_Financial_Freedom_14.0,Years_to_Financial_Freedom_16.0,Number_of_Credit_Card_Facility_4.0,Number_of_Bank_Products_1.0,Number_of_Loan_to_Approve_1,Number_of_Loan_to_Approve_2,Property_Type_terrace,State_Kuala Lumpur,Number_of_Side_Income_2.0,Number_of_Side_Income_3.0,Monthly_Salary_High,Monthly_Salary_Medium,Total_Sum_of_Loan_High,Total_Sum_of_Loan_Low,Total_Income_for_Join_Application_Low,Total_Income_for_Join_Application_Medium,Score_8,Credit_Card_types_platinum,Score_9,Loan_Amount_Medium,Loan_Amount_Low,Loan_Tenure_Year_13.0,Credit_Card_Exceed_Months_4,Loan_Tenure_Year_14.0,Loan_Tenure_Year_18.0,Score_7,Years_to_Financial_Freedom_15.0,Property_Type_flat,Credit_Card_types_gold,Monthly_Salary_Low,Employment_Type_government,Loan_Tenure_Year_17.0,Number_of_Side_Income_1.0,Number_of_Credit_Card_Facility_3.0,Total_Sum_of_Loan_Medium,Number_of_Loan_to_Approve_3,Loan_Tenure_Year_21.0,More_Than_One_Products_yes,Total_Income_for_Join_Application_High,Years_to_Financial_Freedom_5.0,Loan_Tenure_Year_16.0,Loan_Amount_High,Years_to_Financial_Freedom_8.0,Score_6,Credit_Card_Exceed_Months_6,Number_of_Properties_2.0,Number_of_Credit_Card_Facility_2.0,Loan_Tenure_Year_22.0,Credit_Card_types_normal,State_Penang,Credit_Card_Exceed_Months_7,Property_Type_bungalow,State_Johor,Credit_Card_Exceed_Months_2,Employment_Type_self_employed,More_Than_One_Products_no,Loan_Tenure_Year_23.0,Loan_Tenure_Year_15.0,Years_for_Property_to_Completion_10.0,Number_of_Dependents_2,Loan_Tenure_Year_12.0,Years_to_Financial_Freedom_17.0,Loan_Tenure_Year_10.0
1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0
