Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
1,employer,Medium,16.0,yes,platinum,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,High,Medium,High,reject,7
1,employer,High,19.0,no,normal,2,15.0,2.0,2.0,1.0,2,condominium,10.0,Johor,2.0,Medium,Medium,High,accept,9
1,employer,Medium,22.0,yes,normal,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Low,Low,Medium,reject,8
1,employer,Medium,22.0,no,normal,2,5.0,4.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Low,Low,Low,accept,9
1,employer,Low,14.0,yes,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Low,Medium,Medium,reject,8
1,employer,Low,22.0,no,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,2.0,High,High,High,reject,7
1,employer,Low,22.0,yes,gold,2,5.0,4.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,Low,Low,accept,7
1,employer,High,21.0,no,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Medium,Low,reject,8
1,employer,Low,24.0,yes,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,High,Low,Medium,accept,8
1,employer,Medium,12.0,no,gold,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,Medium,High,High,reject,7
1,employer,Low,22.0,yes,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Low,Low,Medium,reject,8
1,employer,Medium,10.0,no,platinum,2,15.0,2.0,2.0,1.0,3,condominium,10.0,Johor,1.0,Medium,Medium,Medium,accept,7
1,employer,Low,23.0,yes,normal,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Low,Medium,Low,accept,7
1,employer,Medium,24.0,no,normal,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Low,Low,Medium,accept,8
1,employer,Low,20.0,yes,normal,2,5.0,4.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Medium,High,Medium,reject,6
1,employer,High,13.0,no,normal,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,High,High,Medium,accept,8
1,employer,Medium,12.0,yes,gold,2,15.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Medium,Medium,Low,reject,7
1,employer,Low,14.0,no,normal,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,High,Low,Medium,reject,8
1,employer,High,18.0,yes,platinum,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Low,Low,Medium,accept,6
1,employer,Low,12.0,no,normal,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,High,High,Low,reject,9
