,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Number_of_Bank_Products_1.0'}),frozenset({'Decision_Accept'}),0.725531914893617,0.7527659574468085,0.551063829787234,0.7595307917888563,1.0089866369156655,0.004908103214124049,1.028131811105345
1,frozenset({'Decision_Accept'}),frozenset({'Number_of_Bank_Products_1.0'}),0.7527659574468085,0.725531914893617,0.551063829787234,0.7320520067834935,1.0089866369156655,0.004908103214124049,1.0243334231079988
2,frozenset({'Credit_Card_types_normal'}),frozenset({'Number_of_Properties_2.0'}),0.6331914893617021,0.8617021276595744,0.5459574468085107,0.862231182795699,1.0006139652197001,0.0003349932095971786,1.0038401660612357
3,frozenset({'Number_of_Properties_2.0'}),frozenset({'Credit_Card_types_normal'}),0.8617021276595744,0.6331914893617021,0.5459574468085107,0.6335802469135803,1.0006139652197001,0.0003349932095971786,1.0010609623215003
4,frozenset({'Number_of_Side_Income_3.0'}),frozenset({'Number_of_Properties_2.0'}),0.5497872340425531,0.8617021276595744,0.48595744680851066,0.8839009287925698,1.0257615716852044,0.012204617473970225,1.1912056737588665
5,frozenset({'Number_of_Properties_2.0'}),frozenset({'Number_of_Side_Income_3.0'}),0.8617021276595744,0.5497872340425531,0.48595744680851066,0.5639506172839507,1.0257615716852044,0.012204617473970225,1.03248114503265
6,frozenset({'Credit_Card_types_normal'}),frozenset({'Years_for_Property_to_Completion_10.0'}),0.6331914893617021,0.737872340425532,0.47702127659574467,0.7533602150537635,1.0209899108283416,0.009806790402897225,1.0627955243782248
7,frozenset({'Years_for_Property_to_Completion_10.0'}),frozenset({'Credit_Card_types_normal'}),0.737872340425532,0.6331914893617021,0.47702127659574467,0.6464821222606689,1.0209899108283413,0.009806790402897225,1.0375953628822323
8,"frozenset({'Number_of_Properties_2.0', 'Number_of_Bank_Products_1.0'})",frozenset({'Decision_Accept'}),0.6221276595744681,0.7527659574468085,0.4693617021276596,0.7544459644322845,1.0022317786409658,0.0010451788139429485,1.006841699757008
9,"frozenset({'Number_of_Properties_2.0', 'Decision_Accept'})",frozenset({'Number_of_Bank_Products_1.0'}),0.645531914893617,0.725531914893617,0.4693617021276596,0.7270929466051417,1.0021515686346527,0.0010076957899501915,1.0057200123342582
10,frozenset({'Number_of_Bank_Products_1.0'}),"frozenset({'Number_of_Properties_2.0', 'Decision_Accept'})",0.725531914893617,0.645531914893617,0.4693617021276596,0.6469208211143695,1.002151568634653,0.0010076957899501915,1.003933696190005
11,frozenset({'Decision_Accept'}),"frozenset({'Number_of_Properties_2.0', 'Number_of_Bank_Products_1.0'})",0.7527659574468085,0.6221276595744681,0.4693617021276596,0.6235161107970605,1.0022317786409658,0.0010451788139429485,1.0036879432624113
12,frozenset({'Number_of_Dependents_2'}),frozenset({'Number_of_Properties_2.0'}),0.5106382978723404,0.8617021276595744,0.4548936170212766,0.8908333333333335,1.03380658436214,0.014875509280217358,1.2668507389962664
13,frozenset({'Number_of_Properties_2.0'}),frozenset({'Number_of_Dependents_2'}),0.8617021276595744,0.5106382978723404,0.4548936170212766,0.5279012345679013,1.03380658436214,0.014875509280217358,1.0365663669545093
14,frozenset({'More_Than_One_Products_no'}),frozenset({'Number_of_Properties_2.0'}),0.5,0.8617021276595744,0.4323404255319149,0.8646808510638297,1.0034567901234568,0.0014893617021276562,1.022012578616352
15,frozenset({'Number_of_Properties_2.0'}),frozenset({'More_Than_One_Products_no'}),0.8617021276595744,0.5,0.4323404255319149,0.5017283950617284,1.0034567901234568,0.0014893617021276562,1.0034687809712586
16,frozenset({'Total_Income_for_Join_Application_Medium'}),frozenset({'Years_for_Property_to_Completion_10.0'}),0.5838297872340426,0.737872340425532,0.4319148936170213,0.7397959183673469,1.0026069251229903,0.0011230421004979618,1.0073925740508967
17,frozenset({'Years_for_Property_to_Completion_10.0'}),frozenset({'Total_Income_for_Join_Application_Medium'}),0.737872340425532,0.5838297872340426,0.4319148936170213,0.585351787773933,1.0026069251229903,0.0011230421004979618,1.003670582665049
18,frozenset({'Number_of_Credit_Card_Facility_4.0'}),frozenset({'Number_of_Bank_Products_1.0'}),0.528936170212766,0.725531914893617,0.4268085106382979,0.8069187449718423,1.1121753962955012,0.04304843820733367,1.4215159574468088
